"Date","Price","Open","High","Low","Vol.","Change %"
"04/26/2024","83.85","83.81","84.46","83.35","","0.34%"
"04/25/2024","83.57","82.83","83.83","81.99","314.12K","0.92%"
"04/24/2024","82.81","83.40","83.71","82.44","329.08K","-0.66%"
"04/23/2024","83.36","82.13","83.43","80.88","355.81K","0.62%"
"04/22/2024","82.85","83.05","83.35","81.85","30.21K","-0.35%"
"04/19/2024","83.14","82.62","86.28","81.80","76.90K","0.50%"
"04/18/2024","82.73","82.79","83.47","81.56","84.47K","0.05%"
"04/17/2024","82.69","85.36","85.51","82.55","259.54K","-3.13%"
"04/16/2024","85.36","85.70","86.18","84.75","241.34K","-0.06%"
"04/15/2024","85.41","85.93","86.11","84.05","343.89K","-0.29%"
"04/12/2024","85.66","85.60","87.67","85.24","369.96K","0.75%"
"04/11/2024","85.02","86.32","86.63","84.84","388.13K","-1.38%"
"04/10/2024","86.21","85.34","86.38","84.55","373.94K","1.15%"
"04/09/2024","85.23","86.59","86.98","85.09","314.99K","-1.39%"
"04/08/2024","86.43","86.10","87.10","84.69","393.73K","-0.55%"
"04/05/2024","86.91","86.86","87.63","86.32","353.21K","0.37%"
"04/04/2024","86.59","85.66","87.22","84.64","359.53K","1.36%"
"04/03/2024","85.43","85.46","86.20","84.85","322.55K","0.33%"
"04/02/2024","85.15","84.04","85.50","83.85","344.04K","1.72%"
"04/01/2024","83.71","83.14","84.49","82.60","321.06K","0.65%"
"03/28/2024","83.17","81.71","83.21","81.52","293.77K","2.24%"
"03/27/2024","81.35","81.29","81.74","80.55","249.96K","-0.33%"